x,z
427.0625394,11.34342159
407.79749,11.33442121
391.5950954,11.36442543
352.1256369,11.16042784
307.9461556,10.85843008
256.3902845,10.57943225
198.0642515,10.25343526
131.7777834,9.824438472
65.89969287,9.435441686
0,9.063445071
