x,z
358.3025932,5.627
336.6159376,5.693
305.1914722,5.639
275.5249924,6.534
236.761513,6.515
194.047805,6.518
146.3052552,6.513
104.3019301,6.557
60.36365972,6.517
22.79028784,6.555
0,6.52
